N,std_mc_price,antith_mc_price,control_mc_price,strat_mc_price,midpoint_rule_qmc_price,std_mc_err,antith_mc_err,control_mc_err,strat_mc_err,std_mc_abs_err,antith_mc_abs_err,control_mc_abs_err,strat_mc_abs_err,midpoint_rule_qmc_abs_err
5313,10.522779493032644,10.854730193686017,10.515712546853996,10.444832703814011,10.449911092184339,0.3982828088069527,0.28837196189451336,0.15320817069046735,0.010266804561617542,0.07219592084707926,0.4041466215004519,0.06512897466843093,0.005750868371553253,0.0006724800012261056
5844,10.457373541211956,10.373837731203635,10.44386151475892,10.451109337720785,10.44997240975245,0.3874944664862527,0.2637251100513627,0.14407256205186886,0.007175455832373809,0.006789969026391063,0.07674584098193016,0.0067220574266446675,0.0005257655352206569,0.0006111624331150978
6428,10.51286713760772,10.590541130241759,10.470038113536061,10.45766682766604,10.450028256082378,0.36175550003066875,0.2534931402745908,0.13757066414653582,0.013744083889729324,0.06228356542215607,0.13995755805619403,0.019454541350496513,0.007083255480475614,0.0005553161031865983
7071,10.350044516533794,10.337599045251299,10.498048600326202,10.448522293818936,10.450078988669198,0.3420267584158927,0.2370305911122476,0.1312480740671903,0.00548468348567408,0.10053905565177068,0.11298452693426597,0.047465028140637244,0.002061278366628727,0.0005045835163670631
7778,10.469502467933683,10.478599440737852,10.38931965291796,10.448963704077864,10.45012500182753,0.3292210322375164,0.22913006443275816,0.12441817928714706,0.007646233585475553,0.018918895748118558,0.02801586855228777,0.06126391926760455,0.0016198681077010946,0.00045857035803464896
8556,10.354624735331246,10.505417299140271,10.460189881053658,10.446851553837018,10.450166883603874,0.3140803029341103,0.221581903247441,0.11868740228075987,0.006405032321976656,0.09595883685431872,0.05483372695470656,0.00960630886809355,0.0037320183485469727,0.0004166885816907495
9412,10.37691181351949,10.35381083246673,10.364988507360035,10.44954559358578,10.450204911724851,0.29677171994088847,0.20698745917746603,0.11384953279584242,0.004616286532496223,0.0736717586660749,0.09677273971883515,0.08559506482552948,0.0010379785997844948,0.00037866046071322046
10353,10.57852587096034,10.380054818581389,10.472366151393889,10.450744085295332,10.450239428475689,0.2835988427831893,0.19859029558986355,0.10839553342437071,0.010796546260067166,0.1279422987747747,0.07052875360417588,0.021782579208323938,0.00016051310976727962,0.0003441437098761213
11388,10.333204117251256,10.427510527964358,10.442861852694325,10.447450265228056,10.450270817454975,0.26744261104951444,0.1878581479118357,0.10239309824470949,0.0040435548178705885,0.11737945493430857,0.023073044221206374,0.007721719491240009,0.0031333069575083528,0.0003127547305901146
12527,10.348551270627969,10.368265366862873,10.405463592556522,10.44744771558004,10.450299320432835,0.25461549483002693,0.1783546216555242,0.09702159592981241,0.0059722543871386325,0.10203230155759613,0.08231820532269118,0.04511997962904246,0.003135856605524623,0.000284251752729503
13780,10.509050835931415,10.282502716958776,10.457582326781326,10.449348782419527,10.450325224047052,0.24887773544589953,0.16983557784385364,0.09368265897681953,0.0037043860581753756,0.05846726374585032,0.16808085522678873,0.00699875459576127,0.0012347897660376361,0.00025834813851233207
15158,10.367639419828574,10.38228799237093,10.466328862219983,10.451075906269654,10.45034878367381,0.2298004080763767,0.1625206306565978,0.08872933454144957,0.005785949024009415,0.08294415235699049,0.06829557981463452,0.015745290034418602,0.0004923340840896628,0.0002347885117544024
16674,10.26156271552969,10.484113864315193,10.447529565108916,10.446378934881922,10.45037018886911,0.21961784848694732,0.15863147926964144,0.08472307329731713,0.0031423527019653953,0.18902085665587443,0.03353029212962788,0.0030540070766491567,0.0042046373036424,0.00021338331645459618
18341,10.406843877790097,10.474176632784593,10.418126956042604,10.455564346955612,10.450389624263849,0.21260841062700012,0.150049594088727,0.08143069726705318,0.0058917955770060055,0.043739694395467765,0.023593060599027993,0.03245661614296047,0.004980774770046992,0.00019394792171567588
20176,10.355027250342166,10.475488786892809,10.393833976616051,10.452798402519692,10.45040729657946,0.2028253662169089,0.1439986017237251,0.07703425380366051,0.004654498638350526,0.09555632184339835,0.024905214707244383,0.056749595569513644,0.0022148303341271713,0.000176275606104781
22193,10.456173185151854,10.492077817070488,10.440663306408233,10.451858892704703,10.450423338582011,0.19340935548310514,0.13796894937960955,0.07360544041215163,0.004655157713378373,0.005589612966289792,0.04149424488492315,0.00992026577733185,0.0012753205191380346,0.0001602336035535501
24413,10.431908404293445,10.365365930903117,10.472042624107388,10.447878802827764,10.450437939525434,0.18364199412791687,0.13056003369049526,0.07027931226523984,0.003260327971182565,0.01867516789211976,0.08521764128244769,0.021459051921823402,0.002704769357800174,0.00014563266013034593
26854,10.314997560647981,10.440981450820365,10.46078187132134,10.453984878924897,10.45045119597171,0.17382378573751217,0.12330374715179272,0.06721014216044177,0.004118549745202489,0.13558601153758332,0.009602121365199778,0.010198299135774747,0.00340130673933281,0.00013237621385542298
29539,10.46177097392386,10.455985928419427,10.421639469915698,10.447457700618765,10.450463237669119,0.16746032078409995,0.11798513560015386,0.0636359333745272,0.004049521045821891,0.011187401738295577,0.005402356233862093,0.028944102269866434,0.003125871566799887,0.00012033451644555271
32493,10.377255872193576,10.397868443928381,10.456021677027355,10.448590774159014,10.450474191588869,0.1596625043706513,0.11235514880252666,0.06119839424643165,0.0028309326604927,0.07332769999198874,0.05271512825718361,0.005438104841790192,0.001992798026551057,0.0001093805966956296
35743,10.49134305078062,10.451469047770399,10.43526617523748,10.449645799846405,10.45048414532232,0.15321955263220402,0.10752920983280609,0.058080434330288484,0.0029893311786062756,0.04075947859505469,0.0008854755848339835,0.01531739694808465,0.0009377723391601478,9.942686324393435e-05
39317,10.526979763991152,10.500372273038176,10.444687314534546,10.4507932903733,10.450493189315424,0.14690776891346125,0.10326632988391578,0.05542195300960342,0.004016648359013999,0.07639619180558732,0.049788700852611,0.005896257651018644,0.0002097181877349641,9.038287014107027e-05
43249,10.413943688160225,10.476811107504842,10.44682237806987,10.449965438934294,10.450501414527144,0.13850551243634204,0.09802050482428883,0.053023876676233414,0.002968810694729115,0.03663988402533924,0.02622753531927735,0.003761194115694977,0.0006181332512706916,8.215765842045641e-05
47574,10.312837677751977,10.4446632840965,10.477186969427029,10.448787589788198,10.45050888614278,0.13198219228006766,0.09360717963912306,0.05049616249313707,0.0032619220147094927,0.13774589443358742,0.0059202880890651954,0.02660339724146432,0.0017959823973665578,7.468604278493274e-05
52331,10.394010398092938,10.482291943935033,10.461507695168997,10.450417344655921,10.450515676611861,0.1253245779470037,0.08954280587725916,0.0484475977690113,0.003177381149461881,0.05657317409262674,0.03170837174946861,0.010924122983432483,0.00016622752964323695,6.789557370368016e-05
57565,10.37417925293371,10.411835780861475,10.449907710195507,10.45213758683474,10.45052185052424,0.11973029629529937,0.08516986611692684,0.04598666712844704,0.0030577542855089158,0.07640431925185531,0.038747791324089675,0.0006758619900573137,0.0015540146491748175,6.172166132500934e-05
63321,10.547677236050035,10.37541838079703,10.433788611795793,10.449124613325955,10.45052746080481,0.11537314246033809,0.08008063919612365,0.04365267542821495,0.001955675832024357,0.09709366386447016,0.07516519138853539,0.01679496038977213,0.0014589588596098935,5.611138075423128e-05
69653,10.436117277211238,10.4311511329506,10.44829711942871,10.451923348895749,10.45053256198175,0.10930054444637813,0.07649890334635293,0.04186921808028286,0.0026782675586032134,0.014466294974326388,0.01943243923496496,0.0022864527568540183,0.0013397767101839264,5.1010203813817157e-05
76619,10.543483076874235,10.371881661524236,10.462373792640358,10.451211230423125,10.450537197764746,0.10503999734455545,0.07316000877176441,0.03958967432047878,0.002679796573617982,0.09289950468867048,0.07870191066132826,0.011790220454793499,0.0006276582375601691,4.6374420819006446e-05
84280,10.430030868768474,10.449743010020548,10.433917826406834,10.450400761779022,10.450541411121614,0.09890724736180909,0.07037236507902436,0.03775287988158878,0.0024702974645365,0.020552703417090257,0.0008405621650169337,0.016665745778730923,0.00018281040654244407,4.2161063950274524e-05
92709,10.518284390619737,10.42674839535149,10.440654685300363,10.452104118423414,10.45054524219859,0.09552909918175205,0.06621322128906931,0.03616937747231528,0.0022054053587605843,0.0677008184341723,0.023835176834074545,0.009928886885202104,0.0015205462378489187,3.832998697461676e-05
101979,10.429552589847157,10.383856829429014,10.475229513090007,10.450921827663903,10.45054872418979,0.09003458445178496,0.06362886424197,0.034413784614768066,0.0021413963666016464,0.02103098233840761,0.06672674275655055,0.024645940904441943,0.0003382554783382119,3.484799577435638e-05
112177,10.406242996734859,10.48620555283691,10.44741954172072,10.452415187689573,10.450551889546137,0.08598424932829639,0.060877808693608725,0.03284468008105507,0.00211389632507767,0.0443405754507058,0.03562198065134581,0.0031640304648448137,0.0018316155040078996,3.168263942754379e-05
123395,10.467461585257576,10.506455691937107,10.411553488789243,10.451791705053232,10.45055476712228,0.08248962890031952,0.058425533520861314,0.0311965011141761,0.0018746954048737784,0.0168780130720112,0.055872119751542826,0.0390300833963213,0.0012081328676671887,2.880506328395427e-05
135735,10.407853249960677,10.404169285258519,10.434524865871063,10.449617087711683,10.450557382846071,0.07808344369608507,0.05481765400985556,0.02992390946098194,0.0016767271304703212,0.042730322224887374,0.04641428692704608,0.016058706314501237,0.0009664844738814793,2.6189339493498665e-05
149308,10.5054610827757,10.407869453186285,10.461998534080946,10.450760086572572,10.450559760608805,0.07508060395591008,0.052578698305831444,0.028551284887052563,0.0016285272490072023,0.054877510590134904,0.042714118999279904,0.011414961895381381,0.00017651438700738709,2.3811576760124353e-05
164239,10.456324262557604,10.442412686889663,10.455210806972692,10.449744369310645,10.450561922542429,0.0712404419935675,0.05004831798998196,0.02715910025392545,0.0015565796625541036,0.005740690372039836,0.008170885295902153,0.0046272347871276764,0.0008392028749195646,2.1649643136001373e-05
180663,10.438116998091724,10.427775084559183,10.43662728657395,10.451437188537481,10.450563887766036,0.06781667341124875,0.047751754587868525,0.025916240720566815,0.0015343379564305333,0.012466574093840777,0.022808487626381435,0.01395628561161466,0.0008536163519163864,1.968441952904243e-05
198730,10.44187258966839,10.425231905550179,10.443913760669203,10.450547515977462,10.450565674479057,0.0647852171667074,0.04573745466052042,0.02469658706643042,0.001457864731019595,0.00871098251717406,0.025351666635385683,0.006669811516362145,3.6056208102763776e-05,1.7897706507952194e-05
218603,10.410383680968707,10.448339324454645,10.446825700346645,10.450605823977474,10.450567298771034,0.06150817142518246,0.04376590666605456,0.023512206285749824,0.001504525517409408,0.040199891216857964,0.0022442477309194686,0.003757871838919513,2.22517919095111e-05,1.6273414530587615e-05
240463,10.455470359448844,10.465808828308717,10.454671620658987,10.45159968927159,10.450568775408204,0.058747315709309314,0.04149873713196623,0.022412085498284377,0.0014889103222480474,0.004886787263279402,0.015225256123152064,0.004088048473422035,0.0010161170860261137,1.4796777360714941e-05
