N,std_mc_price,antith_mc_price,control_mc_price,strat_mc_price,midpoint_rule_qmc_price,std_mc_err,antith_mc_err,control_mc_err,strat_mc_err,std_mc_abs_err,antith_mc_abs_err,control_mc_abs_err,strat_mc_abs_err,midpoint_rule_qmc_abs_err
5313,5.605080807377035,5.610472348021173,5.4331255125111975,5.572634818397252,5.573394813523273,0.23546109529467615,0.1784162498991957,0.14904613161811586,0.002754772235074021,0.03155478512006393,0.03694632576420265,0.14040050974577323,0.0008912038597186367,0.00013120873369754094
5844,5.555759864778713,5.638553904654147,5.675780817100062,5.573938532310185,5.573407768357745,0.21990764495596526,0.17335023064014915,0.14651586292396426,0.002898079115111426,0.017766157478257938,0.06502788239717638,0.10225479484309119,0.00041251005321463197,0.0001182538992257065
6428,5.5170461853264205,5.60610594164753,5.657816085638462,5.574278627456143,5.573419573735624,0.2119480926155766,0.1651071352989688,0.13733147342484825,0.0018886542281147652,0.05647983693055014,0.032579919390559375,0.08429006338149136,0.000752605199171974,0.00010644852134689131
7071,5.59008337973632,5.598299493267885,5.63215275465743,5.574569947959108,5.573430160269783,0.20223762500960712,0.15611280728249474,0.13112390195623672,0.002194691420669313,0.016557357479348944,0.024773471010914427,0.05862673240045968,0.0010439257021372939,9.586198718736227e-05
7778,5.54630880795174,5.661543526344641,5.574089705321897,5.57380725953008,5.573439629687244,0.19449225393017847,0.1473340176958205,0.12573459013082947,0.0020732610632940057,0.02721721430523072,0.08801750408767006,0.000563683064926046,0.0002812372731089141,8.639256972653442e-05
8556,5.484473404638515,5.615911586862866,5.579882934410317,5.5738996647266825,5.57344822006357,0.18164352130384137,0.1406326135360751,0.11888870634155863,0.0022402865519324786,0.08905261761845562,0.04238556460589571,0.006356912153345995,0.00037364246971183235,7.780219340070005e-05
9412,5.494594268181666,5.520611165143202,5.556583388340219,5.574047804150173,5.5734559262800625,0.1723307217722456,0.13200261395313168,0.11297125716640072,0.0016740216613554144,0.07893175407530428,0.052914857113768754,0.016942633916751326,0.0005217818932026219,7.009597690821323e-05
10353,5.68081857093092,5.548798970523708,5.54327061181509,5.574239326831868,5.573462848926699,0.16856149359872516,0.1286668287958213,0.10672550271868478,0.002019708646706404,0.1072925486739491,0.024727051733262506,0.030255410441880848,0.0007133045748970446,6.317333027183736e-05
11388,5.56776497244895,5.585473426716804,5.599690566965744,5.572441633571682,5.573469111169748,0.1576847675803495,0.12189252571020759,0.10462779058727009,0.0010960338165890494,0.005761049808020502,0.011947404459832889,0.026164544708773718,0.0010843886852889284,5.69110872223888e-05
12527,5.475571836427697,5.54193488688116,5.495636202985403,5.573236353272383,5.5734747229294275,0.14922241790782767,0.11664702315206232,0.09805323396752007,0.0013884781642034799,0.0979541858292734,0.03159113537581071,0.0778898192715678,0.00028966898458726575,5.129932754321942e-05
13780,5.491186145112506,5.603754998381597,5.583397470178249,5.574209568617598,5.573479780641196,0.14387764646590467,0.111417226313479,0.09432676236450009,0.0016030241156329735,0.08233987714446478,0.030228976124626605,0.009871447921278254,0.0006835463606273962,4.624161577471142e-05
15158,5.583508776841392,5.5701527617389415,5.581912109414939,5.572923617354217,5.573484362462281,0.13765923459751872,0.105882246927525,0.0897899391147795,0.0012680529756871092,0.00998275458442155,0.0033732605180292197,0.008386087157968625,0.0006024049027537615,4.165979468950809e-05
16674,5.58003050049067,5.589051013551617,5.538023706595488,5.5729826022893185,5.573488484493028,0.13236554060258335,0.10050747165183262,0.0849845436967129,0.0010828118592166008,0.006504478233699373,0.015524991294646462,0.035502315661482875,0.00054341996765217,3.753776394255226e-05
18341,5.621789097648632,5.600538867175402,5.518228588304881,5.574929980833255,5.573492187581737,0.12576442118716524,0.09636022852618618,0.0803853929349566,0.0016594651864777754,0.0482630753916613,0.027012844918431256,0.05529743395208975,0.001403958576283948,3.38346752339902e-05
20176,5.432139731034169,5.590923074170554,5.609426722829059,5.573358954707351,5.573495524568252,0.11740365341100413,0.09103208383453887,0.07725176944249633,0.001151554044238738,0.1413862912228021,0.01739705191358354,0.03590070057208816,0.00016706754961948178,3.0497688718433835e-05
22193,5.60548662018147,5.564169443715775,5.568524406533564,5.57297268457974,5.573498523170578,0.11432420986783506,0.08722622795143604,0.07343415161322951,0.0008201245591764337,0.03196059792449901,0.00935657854119576,0.005001615723406516,0.0005533376772310916,2.7499086392879235e-05
24413,5.496556209621378,5.57067784906376,5.635179609320707,5.573213010120778,5.573501240339392,0.10830999218481953,0.08349379416098152,0.07111582584717893,0.0008757818150245981,0.07696981263559266,0.0028481731932110677,0.061653587063736026,0.00031301213619272517,2.478191757848691e-05
26854,5.507796162368161,5.5806627497789565,5.590730679151808,5.573341859072815,5.5735036805700995,0.1033802474525722,0.07884574687613166,0.06713890377809699,0.0009160286595155545,0.06572985988881008,0.007136727521985797,0.017204656894837633,0.0001841631841559277,2.2341686871207855e-05
29539,5.6235272161352965,5.5688247542227085,5.5969431932902305,5.573229167468249,5.573505873709096,0.09916561768832582,0.07499728854479482,0.06431708867250824,0.0009420345080833965,0.0500011938783258,0.004701268034262185,0.023417171033259798,0.0002968547887221007,2.014854787457665e-05
32493,5.614639707655771,5.563179846241051,5.571928448095307,5.573325692702431,5.573507858502178,0.09459786124432183,0.07129412041068375,0.06049440634543812,0.0008603927736110131,0.041113685398800115,0.010346176015919362,0.0015975741616633954,0.00020032955453963552,1.816375479268828e-05
35743,5.565746144161325,5.5975413515465435,5.596288606946573,5.573185884370668,5.573509644216529,0.08940778661872671,0.06853637704103838,0.05841136281505912,0.0008867025616493377,0.007779878095645287,0.02401532928957284,0.022762584689602683,0.00034013788630282704,1.637804044207769e-05
39317,5.628457561187674,5.643817841357535,5.5649355369558595,5.57412051173642,5.573511253174272,0.08625331002534282,0.06541754442664494,0.05508055263175824,0.0008894775310538863,0.05493153893070346,0.07029181910056437,0.008590485301111173,0.0005944894794494004,1.476908269903987e-05
43249,5.589403895677495,5.545995726316717,5.589471554369416,5.574541668834358,5.573512707595133,0.08142103983071317,0.06280038118256302,0.05280395042762709,0.0008342077930585777,0.015877873420524047,0.027530295940254135,0.015945532112445093,0.0010156465773869527,1.3314661837959818e-05
47574,5.600147962495492,5.570611244421719,5.546077383410751,5.574271409010749,5.573514014649999,0.07831423947416044,0.05972338283846884,0.05034704010106881,0.0008868222103029544,0.02662194023852127,0.002914777835251847,0.027448638846220064,0.0007453867537785541,1.2007606971842222e-05
52331,5.583290189326264,5.5684675933186165,5.587732486754587,5.573293706398633,5.573515192796911,0.07441570909659719,0.056650708869043526,0.0480389237539328,0.0006546979296923705,0.009764167069293173,0.005058428938354176,0.01420646449761609,0.00023231585833727308,1.0829460059369467e-05
57565,5.539976807733493,5.5916733788153214,5.6250111565865595,5.572875995235656,5.573516255451191,0.07053118432474699,0.054361117778513345,0.045988349411793354,0.0005801444356801919,0.03354921452347792,0.018147356558350758,0.05148513432958879,0.0006500270213143367,9.766805780131449e-06
63321,5.577126713930325,5.5538069005346475,5.577856226534346,5.5738137462720525,5.573517213120342,0.06730204853685158,0.05158677847624574,0.04376602789430708,0.0006632010998560964,0.003600691673354639,0.019719121722323152,0.0043302042773749605,0.0002877240150818139,8.809136629039926e-06
69653,5.624365273101755,5.553784624942017,5.5712552747013655,5.574023388905028,5.573518077834852,0.06455514882923756,0.04905696671184445,0.04156705303808228,0.0006448949079406967,0.05083925084478391,0.019741397314954057,0.0022707475556051904,0.000497366648056996,7.944422118377759e-06
76619,5.601021864701148,5.585902486184359,5.569351451058385,5.573749318263711,5.573518855972415,0.061498013764793705,0.046990138960700735,0.03990465097040775,0.0005819212290700903,0.027495842444177576,0.01237646392738867,0.004174571198586108,0.00022329600674009242,7.166284555992775e-06
84280,5.502529607598518,5.574083944873447,5.575004681723513,5.57334674330848,5.573519557753871,0.05805536170089649,0.04469970763924583,0.03797773835761446,0.0005327212443773198,0.07099641465845252,0.0005579226164762474,0.0014786594665423536,0.0001792789484911239,6.464503099934404e-06
